Hello
resnet
2018-09-07 21:33:43.829581: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2018-09-07 21:33:43.829662: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2018-09-07 21:33:43.829684: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2018-09-07 21:33:43.829697: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2018-09-07 21:33:43.829711: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
2018-09-07 21:33:44.126887: I tensorflow/core/common_runtime/gpu/gpu_device.cc:955] Found device 0 with properties: 
name: GeForce GTX 1080 Ti
major: 6 minor: 1 memoryClockRate (GHz) 1.582
pciBusID 0000:03:00.0
Total memory: 10.92GiB
Free memory: 10.76GiB
2018-09-07 21:33:44.126960: I tensorflow/core/common_runtime/gpu/gpu_device.cc:976] DMA: 0 
2018-09-07 21:33:44.126980: I tensorflow/core/common_runtime/gpu/gpu_device.cc:986] 0:   Y 
2018-09-07 21:33:44.127002: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1045] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:03:00.0)
2018-09-07 21:33:44.128019: I tensorflow/core/common_runtime/direct_session.cc:300] Device mapping:
/job:localhost/replica:0/task:0/gpu:0 -> device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:03:00.0

2018-09-07 21:34:00.150569: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_815: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.150663: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_814: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.150685: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_813: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.150702: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_812: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.150717: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_811: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
